01001100;01101001;01101110;01110101;01110011,01010100;01101111;01110010;01110110;01100001;01101100;01100100;01110011,Inventor of Linux
01000010;01101001;01101100;01101100,01000111;01100001;01110100;01100101;01110011,Co-Founder of Microsoft
01000001;01101100;01100001;01101110,01010100;01110101;01110010;01101001;01101110;01100111,Father of Computer Science
01010011;01101000;01101001;01100111;01100101;01110010;01110101,01001101;01101001;01111001;01100001;01101101;01101111;01110100;01101111,Creator of Super Mario
01000111;01110010;01100001;01100011;01100101,01001000;01101111;01110000;01110000;01100101;01110010,Created first programming language compiler
01000001;01100100;01100001,01001100;01101111;01110110;01100101;01101100;01100001;01100011;01100101,Published the first program for Babbage's Analytical Engine
01000111;01110101;01101110;01110000;01100101;01101001,01011001;01101111;01101011;01101111;01101001,Inventor of the GameBoy
01010100;01101001;01101101,01000010;01100101;01110010;01101110;01100101;01110010;01110011;00101101;01001100;01100101;01100101,Inventor of the World Wide Web
01010010;01100001;01100100;01101001;01100001,01010000;01100101;01110010;01101100;01101101;01100001;01101110,Inventor of the spanning tree algorithm
01001000;01100101;01100100;01111001,01001100;01100001;01101101;01100001;01110010;01110010,Co-Inventor of frequency-hopping
01000101;01101100;01101001;01111010;01100001;01100010;01100101;01110100;01101000,01000110;01100101;01101001;01101110;01101100;01100101;01110010,Responsible for pioneering and managing the ARPANET for the US Defence Department
01001010;01101111;01100001;01101110,01000011;01101100;01100001;01110010;01101011,WWII code-breaker and played an important role in the Enigma project.
01000011;01100001;01110010;01101111;01101100,01010011;01101000;01100001;01110111,One of the first female game designers and programmers in the video game industry working at Atari
01010011;01101000;01100001;01100110;01101001,01000111;01101111;01101100;01100100;01110111;01100001;01110011;01110011;01100101;01110010,Co-Inventor of probabilistic encryption
